Census Block Group,Median Household Income,Low Income Population,Median Property Value,Vacancy Rate,Low to Moderate Income Population,Owner Occupancy Rate,Unemployment Rate,Low Moderate and Medium Income Population,Population,Educational Attainment: Population with at least a High School Degree or GED
County 103 Tract 071102 Block Group 3,89107,15.46052632,163200,16,23.68421053,70,1,53.28947368,1324,94
County 103 Tract 071203 Block Group 3,95833,12.05357143,227400,7,30.80357143,84,4,50.89285714,1633,98
County 103 Tract 071203 Block Group 3,95833,12.05357143,227400,7,30.80357143,84,4,50.89285714,1633,98
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
County 209 Tract 040001 Block Group 1,,,,0,,0,0,,0,0
